I,0.54,0.42,0.14,0.74,0.3595,0.159,0.1985
I,0.54,0.415,0.155,0.702,0.322,0.167,0.19
I,0.55,0.445,0.125,0.672,0.288,0.1365,0.21
I,0.56,0.44,0.155,0.811,0.3685,0.178,0.235
F,0.575,0.45,0.12,0.9585,0.447,0.169,0.275
I,0.575,0.45,0.15,0.858,0.449,0.166,0.215
F,0.575,0.46,0.165,0.9575,0.4815,0.1945,0.236
F,0.58,0.46,0.135,0.926,0.4025,0.208,0.275
F,0.58,0.425,0.155,0.873,0.3615,0.249,0.239
M,0.59,0.45,0.16,0.998,0.445,0.214,0.301
M,0.6,0.46,0.155,0.6655,0.285,0.149,0.269
M,0.62,0.485,0.145,1.003,0.4655,0.2195,0.28
F,0.625,0.495,0.16,1.234,0.6335,0.192,0.35
M,0.625,0.495,0.155,1.025,0.46,0.1945,0.34
M,0.625,0.495,0.175,1.2935,0.5805,0.317,0.355
M,0.625,0.5,0.175,1.0565,0.4615,0.258,0.305
M,0.625,0.47,0.145,1.7855,0.675,0.247,0.3245
F,0.625,0.485,0.165,1.2255,0.5075,0.296,0.36
F,0.635,0.5,0.18,1.2565,0.539,0.292,0.35
F,0.645,0.5,0.15,1.159,0.4675,0.3355,0.31
M,0.645,0.51,0.165,1.403,0.5755,0.2515,0.4545
F,0.69,0.535,0.185,1.826,0.797,0.409,0.499
F,0.695,0.56,0.185,1.7715,0.8195,0.331,0.437
M,0.515,0.39,0.12,0.6125,0.302,0.1365,0.1415
I,0.545,0.405,0.13,0.658,0.327,0.1445,0.174
M,0.62,0.465,0.145,0.911,0.375,0.2145,0.278
M,0.63,0.49,0.15,1.1955,0.5845,0.257,0.3
F,0.63,0.515,0.16,1.336,0.553,0.3205,0.35
F,0.64,0.49,0.18,1.36,0.653,0.347,0.305
I,0.37,0.275,0.08,0.2325,0.093,0.056,0.072
I,0.395,0.31,0.085,0.317,0.153,0.0505,0.0935
I,0.4,0.3,0.115,0.318,0.1335,0.0725,0.0935
I,0.41,0.305,0.1,0.2645,0.1,0.0655,0.085
I,0.455,0.335,0.105,0.4055,0.175,0.092,0.1185
I,0.48,0.335,0.125,0.524,0.246,0.1095,0.145
I,0.485,0.375,0.11,0.464,0.2015,0.09,0.149
I,0.5,0.36,0.12,0.439,0.1875,0.1055,0.1305
I,0.515,0.395,0.125,0.5805,0.2365,0.1075,0.19
I,0.52,0.4,0.14,0.622,0.278,0.1455,0.169
M,0.545,0.45,0.15,0.7805,0.3795,0.1625,0.216
I,0.545,0.43,0.14,0.772,0.289,0.19,0.2615
I,0.55,0.435,0.125,0.741,0.348,0.1585,0.206
M,0.55,0.43,0.18,0.8265,0.4405,0.159,0.225
M,0.55,0.385,0.13,0.7275,0.343,0.1625,0.19
I,0.555,0.43,0.125,0.7005,0.3395,0.1355,0.2095
M,0.56,0.45,0.145,0.9355,0.425,0.1645,0.2725
I,0.565,0.465,0.15,1.1815,0.581,0.2215,0.3095
M,0.57,0.445,0.16,1.0145,0.516,0.164,0.3
F,0.575,0.48,0.17,1.1,0.506,0.2485,0.31
M,0.585,0.51,0.16,1.218,0.639,0.241,0.3
M,0.59,0.45,0.155,0.874,0.369,0.2135,0.24
I,0.595,0.475,0.155,0.984,0.4865,0.184,0.2755
M,0.6,0.47,0.13,1.0105,0.423,0.219,0.298
M,0.61,0.365,0.155,1.0765,0.488,0.249,0.27
M,0.615,0.475,0.205,1.337,0.5995,0.2815,0.37
M,0.625,0.5,0.18,1.3705,0.645,0.303,0.3705
F,0.625,0.49,0.19,1.7015,0.7465,0.4105,0.3855
M,0.63,0.485,0.18,1.2435,0.5175,0.308,0.37
M,0.63,0.53,0.175,1.4135,0.667,0.2945,0.3555
F,0.635,0.485,0.155,1.073,0.467,0.1975,0.35
F,0.635,0.5,0.175,1.477,0.684,0.3005,0.39
M,0.635,0.5,0.18,1.2915,0.594,0.2695,0.37
F,0.65,0.495,0.16,1.3105,0.577,0.3315,0.355
M,0.67,0.525,0.18,1.4915,0.728,0.343,0.381
F,0.675,0.52,0.175,1.494,0.7365,0.3055,0.37
F,0.675,0.51,0.15,1.1965,0.475,0.304,0.386
M,0.68,0.545,0.185,1.672,0.7075,0.364,0.48
M,0.7,0.545,0.215,1.9125,0.8825,0.4385,0.506
F,0.71,0.545,0.175,1.907,0.8725,0.4565,0.475
F,0.715,0.565,0.18,1.79,0.844,0.3535,0.5385
F,0.72,0.59,0.205,1.7495,0.7755,0.4225,0.48
I,0.42,0.305,0.1,0.3415,0.1645,0.0775,0.086
I,0.48,0.35,0.1,0.519,0.2365,0.1275,0.126
M,0.48,0.365,0.13,0.5305,0.2405,0.127,0.139
M,0.51,0.41,0.155,1.2825,0.569,0.291,0.3795
I,0.515,0.4,0.14,0.7165,0.3495,0.1595,0.1785
F,0.56,0.42,0.18,1.6645,0.7755,0.35,0.4525
I,0.56,0.42,0.14,0.837,0.414,0.214,0.2
F,0.57,0.45,0.15,0.9645,0.531,0.189,0.209
F,0.605,0.465,0.155,1.1,0.547,0.2665,0.2585
M,0.625,0.48,0.16,1.2415,0.6575,0.2625,0.2785
F,0.64,0.505,0.175,1.3185,0.6185,0.302,0.3315
M,0.65,0.525,0.185,1.3455,0.586,0.278,0.3865
I,0.3,0.215,0.05,0.1185,0.048,0.0225,0.042
M,0.35,0.265,0.09,0.197,0.073,0.0365,0.077
I,0.455,0.35,0.13,0.4725,0.215,0.0745,0.15
I,0.46,0.365,0.11,0.4495,0.1755,0.102,0.15
I,0.49,0.375,0.115,0.557,0.2275,0.1335,0.1765
I,0.5,0.385,0.12,0.516,0.197,0.1305,0.165
I,0.54,0.415,0.135,0.709,0.3195,0.174,0.185
M,0.55,0.42,0.145,0.7385,0.321,0.1485,0.252
I,0.55,0.445,0.11,0.7935,0.378,0.142,0.26
M,0.555,0.435,0.145,0.9205,0.404,0.2275,0.255
I,0.57,0.425,0.14,0.7655,0.331,0.14,0.24
M,0.58,0.45,0.14,0.824,0.3465,0.1765,0.263
I,0.58,0.425,0.145,0.83,0.379,0.1605,0.2575
I,0.585,0.47,0.17,0.985,0.3695,0.2395,0.315
M,0.585,0.45,0.15,0.997,0.4055,0.283,0.251
F,0.595,0.455,0.14,0.914,0.3895,0.2225,0.271
F,0.6,0.5,0.17,1.13,0.4405,0.267,0.335
F,0.615,0.495,0.155,1.0805,0.52,0.19,0.32
M,0.63,0.505,0.155,1.105,0.492,0.226,0.325
M,0.63,0.49,0.155,1.229,0.535,0.29,0.335
F,0.635,0.495,0.175,1.2355,0.5205,0.3085,0.347
F,0.645,0.535,0.19,1.2395,0.468,0.2385,0.424
F,0.65,0.505,0.165,1.357,0.5725,0.281,0.43
M,0.655,0.525,0.18,1.402,0.624,0.2935,0.365
F,0.655,0.5,0.22,1.359,0.642,0.3255,0.405
M,0.67,0.535,0.19,1.669,0.7465,0.2935,0.508
M,0.67,0.525,0.2,1.7405,0.6205,0.297,0.657
M,0.695,0.53,0.21,1.51,0.664,0.4095,0.385
M,0.695,0.55,0.195,1.6645,0.727,0.36,0.445
M,0.77,0.605,0.175,2.0505,0.8005,0.526,0.355
I,0.28,0.215,0.07,0.124,0.063,0.0215,0.03
I,0.33,0.23,0.08,0.14,0.0565,0.0365,0.046
I,0.35,0.25,0.075,0.1695,0.0835,0.0355,0.041
I,0.37,0.28,0.09,0.218,0.0995,0.0545,0.0615
I,0.43,0.315,0.115,0.384,0.1885,0.0715,0.11
I,0.435,0.33,0.095,0.393,0.219,0.075,0.0885
I,0.44,0.35,0.11,0.3805,0.1575,0.0895,0.115
M,0.475,0.37,0.11,0.4895,0.2185,0.107,0.146
M,0.475,0.36,0.14,0.5135,0.241,0.1045,0.155
I,0.48,0.355,0.11,0.4495,0.201,0.089,0.14
F,0.56,0.44,0.135,0.8025,0.35,0.1615,0.259
F,0.585,0.475,0.165,1.053,0.458,0.217,0.3
F,0.585,0.455,0.17,0.9945,0.4255,0.263,0.2845
M,0.385,0.255,0.1,0.3175,0.137,0.068,0.092
I,0.39,0.31,0.085,0.344,0.181,0.0695,0.079
I,0.39,0.29,0.1,0.2845,0.1255,0.0635,0.081
I,0.405,0.3,0.085,0.3035,0.15,0.0505,0.088
I,0.475,0.365,0.115,0.499,0.232,0.0885,0.156
M,0.5,0.38,0.125,0.577,0.269,0.1265,0.1535
F,0.515,0.4,0.125,0.615,0.2865,0.123,0.1765
M,0.52,0.385,0.165,0.791,0.375,0.18,0.1815
M,0.55,0.43,0.13,0.8395,0.3155,0.1955,0.2405
M,0.56,0.43,0.155,0.8675,0.4,0.172,0.229
F,0.565,0.45,0.165,0.887,0.37,0.239,0.249
M,0.59,0.44,0.135,0.966,0.439,0.2145,0.2605
M,0.6,0.475,0.205,1.176,0.5255,0.2875,0.308
F,0.625,0.485,0.15,1.0945,0.531,0.261,0.296
M,0.71,0.555,0.195,1.9485,0.9455,0.3765,0.495
